x;y;z;au_ppm;lenau;cu_pct;lencu;as_ppm;lenas;lit;mnz;alt;dhid
22997.607;33352.743;4206.375;-99;0;-99;0;-99;0;20;2;500;1
22997.607;33350.936;4202.5;0.16;0.951;0.015;0.951;-99;0;20;2;500;1
22997.607;33348.604;4197.5;0.435;5.517;0.018;5.517;-99;0;20;2;500;1
22997.607;33346.273;4192.5;0.188;5.517;0.028;5.517;-99;0;20;2;500;1
22997.607;33343.941;4187.5;0.19;5.517;0.017;5.517;-99;0;20;2;500;1
22997.607;33341.61;4182.5;0.537;5.517;0.009;5.517;-99;0;20;2;500;1
22997.607;33339.278;4177.5;0.37;5.517;0.022;5.517;-99;0;20;2;500;1
22997.607;33336.947;4172.5;0.113;5.517;0.017;5.517;-99;0;20;2;500;1
22997.607;33334.615;4167.5;0.281;5.517;0.006;5.517;-99;0;20;2;500;1
22997.607;33332.284;4162.5;0.149;5.517;0.012;5.517;-99;0;20;2;500;1
22997.607;33329.952;4157.5;0.121;5.517;0.016;5.517;-99;0;20;2;500;1
22997.607;33327.621;4152.5;0.18;5.517;0.014;5.517;-99;0;20;2;500;1
22997.607;33325.289;4147.5;0.204;5.517;0.012;5.517;-99;0;20;2;500;1
22997.607;33322.957;4142.5;0.371;5.517;0.009;5.517;-99;0;20;2;500;1
22997.607;33320.626;4137.5;0.144;5.517;0.011;5.517;-99;0;20;2;500;1
22997.607;33318.294;4132.5;0.11;5.517;0.009;5.517;-99;0;20;2;500;1
22997.607;33315.963;4127.5;0.188;5.517;0.01;5.517;-99;0;20;2;500;1
22997.607;33313.631;4122.5;0.12;5.517;0.017;5.517;-99;0;20;2;500;1
22997.607;33311.3;4117.5;0.181;5.517;0.012;5.517;-99;0;20;2;500;1
22997.607;33308.968;4112.5;0.165;5.517;0.012;5.517;-99;0;20;2;500;1
22997.607;33306.637;4107.5;0.2;5.517;0.009;5.517;-99;0;20;2;500;1
22997.607;33304.305;4102.5;0.262;5.517;0.013;5.517;-99;0;20;2;500;1
22997.607;33301.974;4097.5;0.19;5.517;0.01;5.517;-99;0;20;2;500;1
22997.607;33299.642;4092.5;0.128;5.517;0.014;5.517;-99;0;20;2;500;1
